id;data;valor
S00N0A01eA00u5S00v;09/06/2023;53.0
00B01f00103ZAb50AK;10/02/2022;35.0
AZ0506N001WVn000A0;22/02/2023;50.0
F103A0Op0c80A01V0o;20/06/2021;20.0
18p30AoB0J0l0A010w;20/09/2022;35.0
A1000Z0l00A8T3HAj1;25/07/2022;60.0
U05Tc2A00110aS0DQ0;07/06/2023;35.0
2T9J116TA00000ZQ0u;24/11/2023;30.0
06WE3R811000AA0Y06;05/03/2023;50.0
830VA80JK0Vq10A100;25/03/2023;40.0
800Az013300KBJA018;05/04/2023;35.0
Vp001093T8JAA010G0;20/07/2023;20.0
0I601AA0108Gr0D0x3;07/07/2021;39.0
f010T4QAD2Y10000Yu;06/09/2022;31.0
00AOz8A01Oi13000ZV;20/08/2023;20.0
2LHT14RU0i0A0Q0100;06/02/2021;25.0
N1A0n3N00G300810QA;05/09/2021;20.0
A0A0010Av5s0ab0C00;05/04/2023;45.0
5YE0020iArG10000A0;10/03/2023;20.0
1W01A80PH0TQL0200d;05/01/2022;20.0
Q000Ts01DT0A07WH12;20/04/2023;45.0
d0R3H1RNfA0100A008;20/09/2021;65.0
H31A0loH0008JA0L01;05/04/2021;35.0
AQ070F00A3108FV100;05/02/2023;30.0
030I001j8ARvc01J0A;21/12/2022;42.48
00Y0Pz0801A1A3lNT0;20/06/2021;40.0
0YQ0100T1A1HN0i320;05/05/2021;25.0
O00u00FL1jARQ1T200;05/12/2022;30.0
1AG001IA0300y8D020;20/03/2023;45.0
N000063BN1W00AA18f;06/07/2022;39.0
00001TBqQ0u1l80TA2;05/07/2023;30.0
P050010ANf0O001A10;24/05/2021;30.0
01011A00eS5U000rAP;24/11/2023;20.0
P01G0PLc8KA030A010;20/03/2021;110.0
000011Hte30TAA08BS;06/09/2023;30.0
i0BTAj000pA011038h;20/08/2023;30.0
J01000A130AD308VrW;17/12/2023;20.0
813A01A060DU0J50b0;05/08/2022;45.0
00bGA31Q0181RC00A0;21/12/2022;30.0
80Q0T1P0PA000RT201;22/01/2023;25.0
503C0eM0A0ny0A0010;20/03/2023;25.0
W120VR0T1U00QAZ050;21/11/2022;50.0
1008AV1U3bA000X0Sp;22/02/2021;20.0
011a00200Q0bFRTAWE;05/06/2021;35.0
d0R3H1RNfA0100A008;10/03/2022;65.0
Z001Qg2AT0O000Eq1L;05/08/2023;20.0
001g2A080c0B0TSQv1;06/09/2022;20.0
A8mFQ201001mV000TB;08/10/2023;20.0
AQ30010Q0TyD1020pL;05/08/2023;70.0
30A8R00C0Ak10c01Fr;06/07/2022;25.0
002aoATVQ00Q1F10m0;23/02/2022;20.0
J0010d30m1z8AQ0LA0;05/01/2022;20.0
00L1A20TQsH1SgF000;08/10/2023;30.0
Q001RE12A0lTHX0000;20/09/2023;20.0
20T0VT0w0mI1AQ10T0;06/01/2023;20.0
18p30AoB0J0l0A010w;21/12/2022;35.0
0120AQZ0b1O5DT0800;05/01/2022;20.0
K00k5A30C0C0A010u1;20/03/2023;90.0
8103dT0090AA0I0uD1;22/02/2021;45.0
010080oa0zP0B3AA1z;20/09/2023;20.0
1f03Ow0A0p0z8A1B00;20/03/2023;35.0
0T0Q100zRQ0A2031ND;06/05/2023;30.0
00KA00250yAf10N00E;05/01/2021;40.0
0Td1APA010c00015S0;26/08/2022;45.0
0fV3iT18L0F0A0100A;20/07/2021;55.0
0h1Q000T00s2AdI1Q0;11/07/2022;45.0
A02100100WTWNj0L0Q;20/06/2021;30.0
90A000A020L1USf015;06/07/2022;25.0
AzFS0O00300A0X1050;22/03/2022;51.88
00V0Ff0o1S12QA0T0s;06/01/2023;30.0
bOB13A008A0y010pg0;05/08/2022;20.0
QBA12T0140Z0Z00cK0;06/09/2022;30.0
T010OiZ001Ma20E0AQ;20/03/2023;30.0
0WXIToT00001T2A10Q;05/07/2021;20.0
0E10eA2HS0SQ6010T0;07/12/2023;45.0
abT1j200RQG00A0B01;10/03/2022;20.0
2010TQ17A0m10HD00W;10/03/2022;56.0
102010Z10Q0ST3A0AH;20/03/2023;30.0
5f4Ny0C00A0000A001;20/03/2021;85.0
lA0n013LA10C008c0R;20/05/2023;45.0
80d01v01RRAQ00Aq30;07/06/2023;35.0
0o108iQ000A0A18R3U;07/11/2022;39.0
1LQ301A0X20e0OT00P;20/09/2023;45.0
0UX0H00135A08AR0H1;05/08/2022;45.0
00bGA31Q0181RC00A0;17/12/2023;30.0
1JT01y002QX0b0UA40;20/04/2021;150.0
T0A91I0V012XX00RQ0;30/05/2022;35.0
hA0100Q05TfQDo0102;06/02/2021;20.0
0Msg50f00001AA00YG;20/07/2023;35.0
1gA108gYiF000O03A0;22/03/2022;20.0
08W3f1000uA100P0FA;05/04/2021;50.0
00A8510AC30410AS00;17/07/2021;120.0
O10j13Az0M0800JuA0;28/02/2021;40.0
A3A17008s01y0Ao070;10/05/2021;42.72
i0A0rQ0eC0021z10TF;20/09/2021;25.0
F00Q11200063oVTAT0;08/06/2022;30.0
1oC1A0O0V30018A00H;07/12/2023;45.0
08W3f1000uA100P0FA;11/04/2022;50.0
9000LAKy00A5101N00;07/11/2022;25.0
A0A08M001v100v3Bh3;05/09/2021;35.0
0A310C1w00tgAC0005;29/12/2023;39.0
k000H1Q10T0ZsRA0E2;05/08/2022;30.0
000Ayi11000500SJNA;17/05/2023;39.0
03A1Qv01A0ZQR01008;05/04/2023;20.0
1i00AHT10200OQ2a0R;07/08/2021;100.0
010Q01HPWTIA000162;06/09/2023;40.0
A41A00310YG7M08009;05/03/2023;50.0
s0Agbf000I0LA10050;22/02/2023;30.0
00T0G61LQTQ800210A;05/02/2023;20.0
3001O0800A81xAFOk0;21/11/2022;55.0
Q0S0rT10UA1H0002Uk;05/03/2023;20.0
A011000QD2QPf0Tos0;24/11/2023;35.0
0Q0Q2TP10141A00R0F;20/04/2023;25.0
K80Q1HW20Tz0000AL1;15/10/2023;25.0
Q001Tf0OA00VO12a0L;10/03/2022;25.0
0J10EA08o013pc0R0A;05/08/2022;56.0
5k00qA0x7A000A0061;05/03/2023;60.0
A50010d1KA100UP000;17/12/2023;30.0
QgW0AT2010u0xR100D;22/01/2023;45.0
1A10q8ZwA00300DA0J;25/07/2022;30.0
200eTmiQ0AP1RD0100;08/10/2023;20.0
0H0A1T000iM1QEQz02;08/10/2023;20.0
U010T010ABp20ba0zQ;11/05/2022;50.0
01A10o0a0xq6Q00A2T;07/03/2021;30.0
A83A00Y1100C0J30qL;22/01/2023;45.0
AF0V0CQT0g0m010201;05/12/2022;20.0
ET0A38v0A10X1W00A0;05/05/2021;30.0
A1A0808E307s0010Qo;20/08/2023;30.0
0100050Ali0AC1040B;25/07/2022;80.0
T5010000N00A0Uy00A;05/12/2022;50.0
0QbJ0061T11002AE07;21/08/2021;30.0
04Z101ATNA00QaW020;21/08/2021;45.0
05A0b00E00w0rAA10M;06/02/2021;40.0
1b0CA0800A3390J810;22/01/2023;40.0
A15w0C0gI00000sA06;05/08/2023;65.0
DJ830A00A40R700c11;22/02/2023;65.0
l0010K0810VAr0JA3R;05/04/2023;35.0
0HA00t0L01KA005r70;07/11/2022;35.0
AT01a001Q2EP0200bJ;07/08/2021;35.0
0T1Q2AOP00141Q0L00;10/03/2022;50.0
AM01C00015p2A0009d;05/10/2022;30.0
e0TAI0X0100GB018A3;20/04/2022;45.0
0TES1A1D107020Qu00;05/02/2023;20.0
rA13080000PF0GA001;08/10/2023;30.0
1gA108gYiF000O03A0;20/03/2023;20.0
B0QQA00Lw1n002K10T;08/02/2022;30.0
00LK00TQ0eL2AQ01h1;06/09/2023;55.0
1D2O00010AXT00dhQn;21/06/2023;50.0
00112B023T00Arb0QO;06/09/2023;40.0
20N1Q01ArQ00TP0JL0;05/10/2022;20.0
JA10R1Q01p03dA0080;21/12/2022;25.0
003OT008AD011q0aGA;05/04/2021;50.0
q0150U00Fh0Ay000AM;05/04/2023;30.0
0Qw1000ET0QA12Tf0L;07/08/2021;45.0
1T8b01000C0iAq0Q2T;20/07/2021;20.0
108WA3CS000300QA10;06/07/2022;45.0
LQQ10Z00g001TTbA20;05/02/2023;25.0
ABi081T0oAr00a3010;07/06/2023;35.0
3A0500110G0B0AaF03;20/07/2023;40.0
10310VA0T900AF0H8h;05/03/2023;30.0
va0A100YA0J00w0E05;24/11/2023;30.0
00UB0110bp0A05A4X0;15/09/2023;45.0
800A0Etl0D1TA3100M;06/02/2021;35.0
DAT000123mr0Q0W1R0;20/03/2023;45.0
0016pA0L02T1Re0QR0;30/05/2022;20.0
zrB0A009A01sJ30810;22/01/2023;50.0
12Q0W0A200JP01TT0I;20/09/2023;40.0
00831JP00A420J01As;05/06/2021;35.0
QPTX0A110020L00ShX;06/07/2022;30.0
810Y100030AFUA0Sb3;11/04/2022;20.0
P0012YQ0P10QT10AD0;21/11/2022;25.0
0EH000581A0H1tA30R;27/06/2022;60.0
1Y00fu0FQAy0T2100T;08/06/2022;45.0
0003Q1Q020HA00T1VH;05/04/2023;20.0
1A0Aeu0DO10080f0C3;31/01/2022;75.0
Q00T2H1T0o1F1A000P;20/04/2023;60.0
1LQ301A0X20e0OT00P;25/07/2021;45.0
001TA1R00ZX006n2NQ;05/06/2021;70.0
E0005A04B3101i0A0G;30/05/2022;20.0
A0d01e00E0E00Ax0i5;05/08/2023;55.0
O1Q1A4WA01200T0H00;20/09/2023;45.0
R30aV0A0N81tA0U100;20/07/2023;60.0
K1U000J3Ag003808A1;09/09/2022;30.0
1OK08aA0j31AJ08000;21/12/2022;20.0
0A9002i0T01Q1OLJ0X;23/02/2022;20.0
87D1c3A0100A00f0UO;20/03/2023;35.0
2T9J116TA00000ZQ0u;21/06/2023;30.0
0o108iQ000A0A18R3U;07/03/2021;39.0
W0t0z0XTQO001LA120;17/12/2023;45.0
0AR000080LA3ZXy1X1;20/07/2023;25.0
0AN0eK0E10AAX18003;20/07/2023;60.0
1Q10STv0AT2000R020;06/05/2023;20.0
f00s0A0U501g0I030A;31/01/2022;45.0
2gT0041c1Z0QR00AA0;22/03/2022;30.0
05O000sAf0000g1YMA;20/09/2021;25.0
0AZWQ00120T011R660;05/06/2021;45.0
000H30A014T1h2A08R;07/01/2023;25.0
sV50000AB000w1hYA0;08/10/2023;30.0
A00505A1E0000WYr0X;05/03/2023;140.0
01VtH0A00nA0V013Q8;05/08/2023;30.0
W00A100QAZ30mZ9810;05/02/2023;20.0
T021E00sAf0L00RQ1O;21/12/2022;35.0
12tTW0D1aARQ000Z00;26/08/2022;20.0
1F0TA000YR830A081k;05/10/2022;25.0
200o11030PTQ00RA0D;20/05/2023;25.0
10Q0KH01A000Z030A8;20/09/2022;20.0
810Y100030AFUA0Sb3;10/11/2023;20.0
T0pAkFr8A001J03100;24/05/2021;45.0
TY20710010QwgnCA00;24/05/2021;25.0
A1F0rd0k0A08103FJ0;19/08/2022;39.0
0A1003Ra00210QRTA1;06/01/2023;30.0
0S03ST01001S02OvAQ;05/02/2023;20.0
D40MQl1Q0A02T0z100;05/03/2023;45.0
w0A1000A00C0M30ey5;07/06/2023;100.0
083q0eAwR100A001AJ;26/05/2021;65.0
1A10PT0R30S0PQX020;07/03/2021;35.0
vM3Rw00A8A021I0100;24/11/2023;45.0
G1NT2T00A0SQn00021;20/08/2023;60.0
AQTnAc00071h20j100;20/01/2021;30.0
10nA081QBA00jz0q30;04/04/2023;500.0
02HQ00HNAqTx10N010;20/04/2023;20.0
Q1Aa0000k0sAw050B0;05/08/2022;50.0
3001zkR0A0P0810vAS;08/02/2022;55.0
0AW0021T0q00QRXAa1;31/01/2022;30.0
00hA080N5031K1LEA0;05/10/2022;45.0
030I001j8ARvc01J0A;20/10/2023;35.0
005t00Y0dA00FIc10A;29/10/2023;35.0
T0201S001Q0uT9A0Jj;08/06/2022;50.0
O01A03A00AltH8100R;06/02/2021;31.0
0rg10J1JAb00308QA0;10/11/2023;60.0
06H0D01T00TQA11J02;20/09/2023;55.0
A1mM0z030AT8E100G0;20/09/2022;40.0
1IN000T0AQ20019EWm;20/03/2023;20.0
F103A0Op0c80A01V0o;20/10/2022;20.0
AU00011QpT21b0a00I;07/03/2021;30.0
02001Y10P01R0AYTQt;06/09/2023;20.0
1013iSD0AaA810000A;24/11/2023;45.0
0JZA0rA1O1J0038006;10/03/2022;49.0
MJ00501nA0Q0QTH021;06/09/2023;25.0
1OK08aA0j31AJ08000;25/07/2022;20.0
00l00QA10D1R2Yyg0T;05/04/2023;20.0
O1k1ZDT0aA00004Q02;20/04/2022;25.0
002aoATVQ00Q1F10m0;26/08/2022;20.0
u1020Q0AQ10GT0K0U1;31/01/2022;45.0
jih01W02C01AT0Q002;06/02/2021;30.0
00IA0Lx5r1q5000A00;10/02/2021;49.0
COa100R1Q920T00A0R;06/06/2021;30.0
0j80T00100013JGAA0;06/09/2023;50.0
ATT1b02100YQ0Y0Lf0;05/04/2021;80.0
MJ00501nA0Q0QTH021;19/10/2023;25.0
00A3301L0108QBA0S0;20/10/2022;51.0
0j80T00100013JGAA0;11/04/2022;55.0
O0TY00t0100q12Q4DA;07/08/2021;65.0
HAxgfTI0000hQ10120;20/09/2021;30.0
J0Q3ZA01u1087000A0;05/12/2022;35.0
QNiN0N2T001001AOa0;22/02/2021;20.0
801A0U013TO00ZA0di;20/07/2021;60.0
A1p00U8CA010P04H03;20/06/2021;60.0
0pS0u0AK01A50w000J;20/05/2023;50.0
N10080V0A30M1A50vA;20/09/2021;35.0
0A2m070Bb01T01YiQ0;22/02/2021;40.0
1o1R0F02oVQ000A0aT;21/11/2022;30.0
0A1b02cT0QID0H10R0;21/06/2023;50.0
y311000J8A0P0zN0A6;31/01/2022;70.0
AA010t00r00WK0H105;09/09/2022;40.0
i02Wz100A01QJ0TkK0;22/02/2021;60.0
00BO0Q0vT100Aa01a2;17/12/2023;45.0
O00u00FL1jARQ1T200;08/10/2023;30.0
0A80f300j118030CAJ;24/11/2023;35.0
001AvZ00uKSz0050A0;28/09/2022;39.0
0PA00z3A8110U0Hh0V;10/11/2023;30.0
1i00AHT10200OQ2a0R;05/07/2023;70.0
FQAT0wN0003T1001T2;07/12/2023;20.0
80003dRm1LD0100AA0;22/02/2021;40.0
I00H001ys8300Ay71A;20/09/2023;40.0
1003A01VR80JpkcA00;25/07/2022;50.0
AM1O30d01y008A00Re;15/07/2022;86.0
qv000A50A0wUZY0100;20/09/2023;35.0
CN00u1l0A0010A50y0;23/12/2023;39.0
0Qfn200DQ1A0T01jL0;10/03/2022;20.0
bYr1010R00Q2H0TH0A;05/01/2021;20.0
0Q201Z30TAX0T10T0w;05/04/2023;30.0
030VF001QP81A0Awy0;25/07/2022;20.0
F0AH000211i8TA0x30;07/08/2021;60.0
e0QT1A0T00zQ2J0T10;07/08/2021;60.0
0Q03XAA03000Jn1851;31/01/2022;25.0
g0A0100P0A05MYe00e;10/11/2023;50.0
000o10Q01QTGA0W21V;20/10/2022;35.0
T0A1S2F000G09Q14v0;06/09/2023;55.0
T2V0g00H61Q0W00AT1;26/11/2023;55.0
100VJF8o00A0Ar013F;20/10/2023;45.0
02o001TE00AQDS10c0;22/02/2023;20.0
0MA0A10BT0Z0031089;20/01/2021;45.0
12L0Q0A01D00100jQT;05/08/2023;45.0
1Y00fu0FQAy0T2100T;05/01/2021;45.0
A0gl0050s0Ap400A01;06/06/2022;39.0
9n2010QTKQ0AB00T10;05/05/2021;20.0
0050000UlsA160gAI0;05/01/2022;65.0
03A1Qv01A0ZQR01008;08/06/2022;20.0
00VJA81A0001S18x03;31/01/2022;30.0
Am8A0u00Q1110B030l;25/07/2022;40.0
108WA3CS000300QA10;20/04/2022;45.0
0o108iQ000A0A18R3U;09/09/2022;39.0
1fRQ000jXN00A0HT21;20/07/2023;20.0
0T0010164AE500A0Uh;20/03/2023;40.0
0BF1JT0A1QQU000520;05/07/2023;20.0
T03A0801R000AHL321;08/06/2022;40.0
NHj0020A01T11LQ0I0;05/07/2023;20.0
00XP00lQ10XT1OA021;20/08/2023;40.0
u001c0A0T2001JlTDQ;05/03/2023;20.0
0000Ayv000uAK10MS5;06/02/2021;70.0
0iA00AA05w00cqq100;17/05/2023;39.0
0A310C1w00tgAC0005;29/06/2022;39.0
f0A00AIB318w0016o0;20/08/2023;49.0
m00W2U0Q1ZA0100xAT;05/08/2023;40.0
801003B1opAA01Q001;05/02/2023;20.0
Z00Q38A0A01rJ001V2;05/06/2021;85.0
30Tk01000HARAD2801;08/10/2023;45.0
10Q1h002TAc1rA0100;24/05/2021;25.0
000A10AG0ac5000PyM;19/04/2022;39.0
080010ILF0S93A110A;07/12/2023;20.0
31AxB0Q1A0qe80000n;09/09/2022;35.0
T0201S001Q0uT9A0Jj;07/06/2023;50.0
O01A03A00AltH8100R;07/03/2021;31.0
003ON8AQ3N1p0A0010;06/05/2023;20.0
